Region_No,Salesman_No,Product_Code,Unit_Sold
1,5,1,2
1,5,2,10
1,5,3,5
1,5,4,1
1,6,1,10
1,6,2,30
1,6,3,5
1,6,4,1
2,1,1,10
2,1,2,10
2,1,3,7
2,1,4,1
2,2,1,30
1,1,1,30
1,1,2,10
1,1,3,5
1,1,4,1
1,2,1,10
1,2,2,10
1,2,3,5
1,2,4,1
1,3,1,30
1,3,2,10
1,3,3,5
1,3,4,2
1,4,1,30
1,4,2,10
1,4,3,10
1,4,4,1
2,2,2,10
2,2,3,5
2,2,4,1
2,3,1,15
2,3,2,10
2,3,3,5
2,3,4,2
2,4,1,30
2,4,2,5
2,4,3,10
2,4,4,1
2,5,1,4
2,5,2,10
2,5,3,5
2,5,4,1
2,6,1,10
2,6,2,5
2,6,3,5
2,6,4,1
3,1,1,10
3,1,2,30
3,1,3,7
3,1,4,3
3,2,1,30
3,2,2,15
3,2,3,5
3,2,4,6
3,3,1,7
3,3,2,10
3,3,3,5
3,3,4,3
3,4,1,30
3,4,2,5
3,4,3,10
3,4,4,2
3,5,1,4
3,5,2,10
3,5,3,5
3,5,4,6
3,6,1,10
3,6,2,5
3,6,3,5
3,6,4,1
4,1,1,10
4,1,2,30
4,1,3,7
4,1,4,3
4,2,1,30
4,2,2,15
4,2,3,5
4,2,4,6
4,3,1,13
4,3,2,10
4,3,3,5
4,3,4,3
4,4,1,10
4,4,2,5
4,4,3,10
4,4,4,5
4,5,1,4
4,5,2,10
4,5,3,5
4,5,4,8
4,6,1,10
4,6,2,5
4,6,3,5
4,6,4,1
